file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationRubberStamp.java,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationRubberStamp,class,3,4,1,3,4,3,0,3,6,0.96666664,0.0,0.0,4,0,4,0,0,0,4,0,0,0,15,15,15,0,0,0,15,0,0,29,1,0,0,0,0,15,0,15,0,15,0,0,0,0,69,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/LegacyFillNonZeroRule.java,org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,class,1,2,1,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,class,3,27,24,3,26,3,0,22,6,0.5769231,0.46666667,0.46666667,13,0,10,3,0,0,10,0,0,0,2,0,0,2,0,0,0,0,6,87,11,1,5,2,1,11,7,12,7,4,2,0,0,0,110,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDActionThread.java,org.apache.pdfbox.pdmodel.interactive.action.PDActionThread,class,4,5,1,4,8,2,0,5,28,0.875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,1,1,0,0,0,1,0,1,27,3,0,0,0,0,1,0,1,0,1,0,0,0,0,57,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/encoding/MacRomanEncoding.java,org.apache.pdfbox.pdmodel.font.encoding.MacRomanEncoding,class,3,8,5,3,4,2,1,2,3,0.8333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,0,15,2,1,0,0,0,209,208,2,0,2,1,0,0,0,48,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,class,15,17,2,15,21,2,0,33,21,0.85714287,0.0,0.0,7,0,6,0,0,1,7,0,0,0,1,1,0,1,0,0,1,0,0,93,4,2,6,1,1,4,33,30,17,17,4,0,0,0,95,1,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/util/NumberFormatUtil.java,org.apache.pdfbox.util.NumberFormatUtil,class,4,6,2,4,24,1,0,5,0,0.5833333,0.0,0.0,4,3,1,3,0,0,2,0,0,0,3,3,0,3,0,0,3,0,6,67,5,5,0,0,9,0,27,28,17,14,2,0,0,0,132,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineWidth.java,org.apache.pdfbox.contentstream.operator.state.SetLineWidth,class,6,7,1,6,3,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,1,0,1,1,0,0,0,21,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDDeviceCMYK.java,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYK,class,4,7,3,4,22,3,0,21,47,0.8727273,0.060606062,0.09090909,11,0,7,0,4,0,12,0,0,0,5,1,1,4,0,0,1,0,3,101,12,3,3,1,0,5,45,34,8,22,5,0,0,0,105,1,0
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/image/PNGConverter.java,org.apache.pdfbox.pdmodel.graphics.image.PNGConverter$Chunk,innerclass,1,1,0,1,1,1,0,1,0,0.4,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,5,0,0,1,10,1,0,0,0,0,0,0,0,1,5,0,0,0,0,59,24,0
