file,class,method,variable,usage
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationRubberStamp.java,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationRubberStamp,setName/1[java.lang.String],name,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationRubberStamp.java,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationRubberStamp,PDAnnotationRubberStamp/1[org.apache.pdfbox.cos.COSDictionary],field,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,trimZeros/1[java.lang.String],i,4
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,trimZeros/1[java.lang.String],lastIndex,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,trimZeros/1[java.lang.String],plainStringValue,5
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,COSFloat/1[float],aFloat,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,equals/1[java.lang.Object],o,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,accept/1[org.apache.pdfbox.cos.ICOSVisitor],visitor,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,COSFloat/1[java.lang.String],e,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,COSFloat/1[java.lang.String],aFloat,11
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,COSFloat/1[java.lang.String],e2,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/cos/COSFloat.java,org.apache.pdfbox.cos.COSFloat,writePDF/1[java.io.OutputStream],output,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDActionThread.java,org.apache.pdfbox.pdmodel.interactive.action.PDActionThread,PDActionThread/1[org.apache.pdfbox.cos.COSDictionary],a,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDActionThread.java,org.apache.pdfbox.pdmodel.interactive.action.PDActionThread,setB/1[org.apache.pdfbox.cos.COSBase],b,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDActionThread.java,org.apache.pdfbox.pdmodel.interactive.action.PDActionThread,setD/1[org.apache.pdfbox.cos.COSBase],d,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDActionThread.java,org.apache.pdfbox.pdmodel.interactive.action.PDActionThread,setFile/1[org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification],fs,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/encoding/MacRomanEncoding.java,org.apache.pdfbox.pdmodel.font.encoding.MacRomanEncoding,MacRomanEncoding/0,encodingEntry,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,annotation,6
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,color,3
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,e,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,i,6
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,pathsArray,27
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,lineWidth,3
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,rect,3
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,borderStyleDic,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,hasStroke,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,contentStream,8
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,borderEdge,8
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,underlined,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,generateNormalAppearance/0,of,10
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,"PDLinkAppearanceHandler/2[org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation,org.apache.pdfbox.pdmodel.PDDocument]",annotation,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,"PDLinkAppearanceHandler/2[org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation,org.apache.pdfbox.pdmodel.PDDocument]",document,1
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,getLineWidth/0,annotation,2
/Users/gayatrisapra/Desktop/team3/pdfbox-trunk/pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java,org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDLinkAppearanceHandler,getLineWidth/0,borderCharacteristics,2
