file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/gui/StatusBar.java,org.gjt.sp.jedit.gui.StatusBar$TaskHandler$Anonymous1,anonymous,3,3,0,3,6,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,3,0,0,3,2,5,0,2,1,0,0,0,15,-1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/bsh/BshIterator.java,org.gjt.sp.jedit.bsh.BshIterator,interface,0,5,5,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/search/BoyerMooreSearchMatcher.java,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,class,5,8,3,5,37,2,0,12,22,0.8035714,0.6,0.6,8,1,5,3,0,0,5,0,0,0,7,0,0,7,0,0,3,0,6,129,10,8,11,0,3,1,23,47,19,28,4,0,0,0,89,1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/gui/LogViewer.java,org.gjt.sp.jedit.gui.LogViewer$LogSettings$Anonymous1$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/gui/LogViewer.java,org.gjt.sp.jedit.gui.LogViewer$LogSettings$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/gui/RegisterViewer.java,org.gjt.sp.jedit.gui.RegisterViewer$Renderer,innerclass,4,4,0,4,8,6,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,27,1,0,5,0,0,12,4,12,2,4,5,0,0,0,20,8,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/gui/StatusBar.java,org.gjt.sp.jedit.gui.StatusBar$TaskHandler,innerclass,2,2,0,2,2,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,28,0,0,0,0,0,0,0,1,0,1,0,1,0,0,10,2,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/io/XMLEncodingDetector.java,org.gjt.sp.jedit.io.XMLEncodingDetector,class,4,5,1,4,10,1,0,11,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,34,6,1,5,1,1,4,10,9,7,8,2,0,0,0,46,1,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/search/SearchDialog.java,org.gjt.sp.jedit.search.SearchDialog$SettingsActionHandler,innerclass,1,1,0,1,5,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,1,0,1,2,0,0,0,22,0,0
/Users/gayatrisapra/Desktop/team3/jedit-5-6-0/org/gjt/sp/jedit/input/AbstractInputHandler.java,org.gjt.sp.jedit.input.AbstractInputHandler,class,8,27,19,8,46,1,0,24,206,0.95238096,0.08095238,0.08095238,21,1,19,0,2,0,21,4,0,0,10,2,1,0,9,0,1,0,10,162,13,3,7,0,1,17,7,41,2,30,4,0,0,0,190,1025,0
